first_name,last_name,email,password,birthday
Зиновій,Абрагамовський,albina31@example.net,OuaBcOoxOFlSFDrsC,1998-05-14
Дмитро,Андрейко,alevtynshchors@example.org,pcpzxoMWlGJepF,2001-03-04
Клавдія,Сиротенко,gdemydenko@example.com,LUaSenEtuYbxrSlD,1997-07-06
Віра,Приймак,kdanko@example.com,wMaRpdXEMLtOeEDpfWgKZkks,2001-09-06
Венедикт,Шведченко,knehoda@example.com,mOUnaSeDjFSScghjsrHaTR,2000-01-07
Федір,Удовенко,spas64@example.com,dvSTjLjPhRHBEDNSJoZM,2001-09-25
Марко,Шило,sviatoslavsaienko@example.com,aLoMXJXvOMZmUe,2003-09-21
Орест,Перепелиця,frantsfomenko@example.net,bLoXHvyZxBPoQBzvpwQQlHOWF,1999-03-04
Геннадій,Щорс,vitalii19@example.org,QXxBBwvyHkVoBVhSKbiabS,2002-05-31
Левко,Чумаченко,ostapavdieienko@example.net,rUwdzxQmVgk,1996-07-15
Климент,Давимука,vavdieienko@example.net,dzvlMvcFodFDZPrdWN,2001-02-13
Мар'яна,Єрмоленко,zaietskostiantyn@example.org,xvdNXvHbHjrdr,2004-12-12
Олександр,Батуринець,ivanchenkoonysym@example.com,bDXTJYejxYIiCuTqTa,1998-09-20
В'ячеслав,Тригуб,shvaikamyroslav@example.org,KrGOvPLlOxJqeOGCmzzl,1996-04-17
Адам,Бабиченко,bevzenkooleksa@example.com,NyebNkypvNyAQetEsugP,1999-06-17
Йосип,Адаменко,klavdiia05@example.net,vNcWbMCMCZrbc,2003-11-04
Марта,Сич,gkovpak@example.org,pkpIsJNvrelrwqn,1998-03-23
Віолетта,Левченко,asirobaba@example.net,lkVGmrVXWBikGxHSM,1999-01-01
Клавдія,Гайденко,kharchenkoruslan@example.com,DMdCHmPWfYooNQg,1999-06-27
Стефан,Опанасенко,hennadii51@example.net,DgUwjEsFNn,2000-03-21
